Name,Pos,Team,VOR,VOR Rank,ADP Rank,Average ADP,predicted_fantasy_points,Positional_Rank,Proj_Points_Normalized,ADP Normalized,Composite_Score,Tier,Overall_Rank,Cluster,Positional_Rank_Within_Tier
Christian McCaffrey,RB,SF,0.9743937669613938,2.0,1.0,1.0,309.4636505536427,1.0,0.8478100681112153,0.9970326409495549,313.3291145655255,1,1.0,14,1.0
CeeDee Lamb,WR,DAL,1.0,1.0,2.0,2.0,300.74836151394925,1.0,0.8239335650675383,0.9940652818991098,300.49702112232865,1,2.0,14,2.0
Breece Hall,RB,NYJ,0.9673903527969886,3.0,6.0,6.3,271.90125695733207,2.0,0.7449037157291664,0.9813056379821958,271.3476574618188,1,3.0,14,3.0
Amon-Ra St. Brown,WR,DET,0.9216493040357175,4.0,8.0,7.3,268.54032025140697,2.0,0.7356960560493621,0.9783382789317507,269.75257450741844,1,4.0,14,4.0
Bijan Robinson,RB,ATL,0.8352009104438415,10.0,7.0,6.3,255.44726037275942,3.0,0.6998261631955768,0.9813056379821958,254.92410045005934,1,5.0,29,5.0
Tyreek Hill,WR,MIA,0.8570865797076076,6.0,3.0,3.0,253.98727380799764,3.0,0.6958263677213824,0.9910979228486647,253.31034416384765,1,6.0,29,6.0
JaMarr Chase,WR,CIN,0.8846625229799527,5.0,4.0,5.0,252.3823988405252,4.0,0.6914296343633658,0.9851632047477745,252.59452046719227,1,7.0,29,7.0
Jonathan Taylor,RB,IND,0.8297294931278999,12.0,12.0,13.3,252.57679105183885,4.0,0.6919621934332897,0.9605341246290802,251.93143004448774,1,8.0,29,8.0
Kyren Williams,RB,LAR,0.8082815372494091,14.0,20.0,22.0,244.73518581488798,5.0,0.6704792442786904,0.9347181008902077,244.87064624849404,1,9.0,29,9.0
Puka Nacua,WR,LAR,0.8450494616125362,8.0,10.0,9.7,242.1062752055332,5.0,0.663277051456406,0.9712166172106825,243.03218734256296,1,10.0,29,10.0
Travis Etienne Jr.,RB,JAC,0.7721701829641952,24.0,24.0,26.7,239.27768518361205,6.0,0.6555278146886844,0.9207715133531157,239.05989800045464,1,11.0,3,11.0
A.J. Brown,WR,PHI,0.8452683183051738,7.0,9.0,9.0,238.2648882474333,6.0,0.652753144907893,0.973293768545994,238.54419143634743,1,12.0,29,12.0
Justin Jefferson,WR,MIN,0.8358574805217543,9.0,5.0,5.3,233.2527413441661,7.0,0.6390218113576034,0.9842729970326409,232.46417800625423,1,13.0,29,13.0
Isiah Pacheco,RB,KC,0.7828941609034406,23.0,38.0,35.7,230.47504651547084,7.0,0.6314120076288126,0.8940652818991098,229.44732111279546,1,14.0,3,14.0
Davante Adams,WR,LV,0.8343254836732907,11.0,15.0,16.3,228.31150668094705,8.0,0.6254847497709435,0.9516320474777448,228.61397079010544,1,15.0,29,15.0
Jahmyr Gibbs,RB,DET,0.7511599404709798,32.0,13.0,13.3,227.75915789100065,8.0,0.6239715288663629,0.9605341246290802,228.28477906321643,1,16.0,3,16.0
Saquon Barkley,RB,PHI,0.7625404884881379,26.0,14.0,15.3,221.4929675295653,9.0,0.6068046038733241,0.9545994065281899,220.5005340073089,1,17.0,3,17.0
Garrett Wilson,WR,NYJ,0.809594677405235,13.0,11.0,12.0,220.10856791002175,9.0,0.6030118872371746,0.9643916913946587,220.41155177059838,1,18.0,3,18.0
Michael Pittman Jr.,WR,IND,0.8014969797776416,17.0,30.0,31.3,218.50665182652307,10.0,0.5986232600706891,0.9071216617210682,218.1246357848139,1,19.0,3,19.0
Cooper Kupp,WR,LAR,0.8028101199334676,16.0,33.0,33.0,216.82394901023076,11.0,0.5940133086701307,0.9020771513353116,216.98382103959912,1,20.0,3,20.0
Kenneth Walker III,RB,SEA,0.750941083778342,33.0,55.0,55.7,217.1216411974621,10.0,0.594828869506052,0.8347181008902077,216.82460248808266,1,21.0,22,21.0
DK Metcalf,WR,SEA,0.7982141293880767,19.0,35.0,34.0,215.29158637315612,12.0,0.5898152309011097,0.8991097922848664,215.3128779111073,1,22.0,3,22.0
Joe Mixon,RB,HOU,0.7439376696139368,36.0,51.0,53.3,214.71571100085126,11.0,0.5882375563091378,0.8418397626112759,214.26996237691145,1,23.0,22,23.0
